python -m agents.afterstate_trainer --selfplay 2000000 --alpha 0.1 --alpha-final 0.001 --epsilon-start 1.0 --epsilon-min 0.001 --gamma 1.0 --seed 1 --output trained_models/w_100_s1_1m.npy --mix 0               
W-table initialised: 2154 terminal winning states set to 1.0 (1.9% of 113028 states).

Phase 2: 2000000 self-play episodes (update=mc, gamma=1.0, eps 1.0 -> 0.001, alpha 0.1 -> 0.001)...
  Ep  645000/2000000 | eps=0.1078 | alpha=0.0226 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.0%W/2.0%L/4.0%D | 1358s
  Ep  650000/2000000 | eps=0.1059 | alpha=0.0224 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 93.5%W/1.0%L/5.5%D | 1371s
  Ep  655000/2000000 | eps=0.1041 | alpha=0.0221 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.0%W/1.0%L/5.0%D | 1385s
  Ep  660000/2000000 | eps=0.1023 | alpha=0.0219 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/2.0%L/1.5%D | 1397s
  Ep  665000/2000000 | eps=0.1006 | alpha=0.0216 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 90.5%W/7.0%L/2.5%D | 1406s
  Ep  670000/2000000 | eps=0.0989 | alpha=0.0214 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/0.5%L/5.0%D | 1416s
  Ep  675000/2000000 | eps=0.0972 | alpha=0.0211 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.0%L/1.5%D | 1425s
  Ep  680000/2000000 | eps=0.0955 | alpha=0.0209 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/1.0%L/2.0%D | 1431s
  Ep  685000/2000000 | eps=0.0939 | alpha=0.0207 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/1.0%L/3.5%D | 1440s
  Ep  690000/2000000 | eps=0.0923 | alpha=0.0204 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.0%W/1.5%L/3.5%D | 1449s
  Ep  695000/2000000 | eps=0.0907 | alpha=0.0202 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/1.5%L/2.5%D | 1458s
  Ep  700000/2000000 | eps=0.0891 | alpha=0.0200 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/0.5%L/2.5%D | 1469s
  Ep  705000/2000000 | eps=0.0876 | alpha=0.0197 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.0%L/1.5%D | 1480s
  Ep  710000/2000000 | eps=0.0861 | alpha=0.0195 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 91.5%W/2.0%L/6.5%D | 1493s
  Ep  715000/2000000 | eps=0.0846 | alpha=0.0193 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.0%W/1.5%L/3.5%D | 1505s
  Ep  720000/2000000 | eps=0.0832 | alpha=0.0191 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/1.5%L/2.0%D | 1518s
  Ep  725000/2000000 | eps=0.0818 | alpha=0.0188 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 97.0%W/2.0%L/1.0%D | 1531s
  Ep  730000/2000000 | eps=0.0804 | alpha=0.0186 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/0.5%L/4.0%D | 1542s
  Ep  735000/2000000 | eps=0.0790 | alpha=0.0184 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 98.5%W/0.0%L/1.5%D | 1555s
  Ep  740000/2000000 | eps=0.0776 | alpha=0.0182 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/1.0%L/2.0%D | 1567s
  Ep  745000/2000000 | eps=0.0763 | alpha=0.0180 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.0%L/1.5%D | 1579s
  Ep  750000/2000000 | eps=0.0750 | alpha=0.0178 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/0.5%L/2.0%D | 1590s
  Ep  755000/2000000 | eps=0.0737 | alpha=0.0176 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/1.0%L/2.5%D | 1602s
